model,n_days,mean_ret,std_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,positive_day_ratio,negative_day_ratio,worst_5pct_day_mean,best_5pct_day_mean,win_loss_ratio,turnover_mean,gate_mean,exposure_adjusted_mean_ret
V2X-B Base,557,0.041234,0.094179,2.078214,3.108282,9.767338,3.74947,-0.554269,0.61939,0.38061,-0.096148,0.293667,2.248505,,,
Current PG Gate,557,0.040982,0.086712,2.0655,3.355302,11.332188,7.130202,-0.289683,0.61939,0.38061,-0.079223,0.289748,3.027902,,0.824776,0.049689
PPO Gate,557,0.038915,0.08289,1.961303,3.332939,10.765519,5.62164,-0.348884,0.61939,0.38061,-0.078858,0.280056,2.973656,,0.797127,0.048819
Riemannian-PPO Gate,557,0.040063,0.082626,2.019169,3.442246,11.578491,6.670241,-0.302713,0.61939,0.38061,-0.075633,0.278175,3.305801,,0.759066,0.052779
V2X-G Geometry Overlay,557,0.029842,0.068078,1.504043,3.111977,8.891853,3.197037,-0.470449,0.653501,0.346499,-0.072437,0.226778,2.03092,0.727878,,
V2L Temporal Expert,557,0.011933,0.034582,0.601405,2.449636,4.02352,1.054842,-0.570137,0.660682,0.339318,-0.058034,0.107283,1.425086,0.685928,,
V2H Factor Tree,557,0.009769,0.033159,0.492378,2.091605,3.647401,0.824923,-0.596877,0.631957,0.368043,-0.056009,0.100334,1.386113,0.705722,,
Kronos-small Frozen,557,0.001617,0.020008,0.08151,0.573831,0.938631,0.213104,-0.38249,0.520646,0.479354,-0.040162,0.052241,1.160872,0.126563,,
TimeMoE-50M Frozen,557,-0.014836,0.038505,-0.747725,-2.735366,-4.097617,-0.747838,-0.999849,0.355476,0.644524,-0.093773,0.069092,0.655255,0.649858,,
Chronos-Bolt Frozen,557,-0.01709,0.037477,-0.861334,-3.237337,-4.684669,-0.861374,-0.999954,0.319569,0.680431,-0.094301,0.061162,0.668374,0.767806,,
