model,n_days,mean_ret,std_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,worst_5pct_day_mean,positive_day_ratio,kind,seed
Action Admission Base,1041,0.04385216730542529,0.08854358452196567,2.210149232193434,3.51600295164968,10.781276744407679,3.987505059082025,-0.5542686967028548,-0.08907209887530808,0.6637848222862632,model,
SPD-Riemannian PPO Gate,557,0.04006286773624636,0.08262573985171011,2.019168533906816,3.442246287311091,11.578491270693624,6.67024053325865,-0.3027130017034604,-0.07563268406173952,0.6193895870736086,model,
Random Top30 seed2026,557,0.0028371060340208814,0.02252938183031893,0.1429901441146524,0.8940083190987365,1.3481599430912778,0.2914569605165513,-0.49060466375971923,-0.04693882644761886,0.5637342908438061,random_top30,2026.0
Random Top30 seed2027,557,0.002613393483274654,0.02291413591558497,0.13171503155704256,0.8096859200963205,1.259842039063976,0.26859386904191895,-0.49038733470303464,-0.04812651992673498,0.5691202872531418,random_top30,2027.0
Random Top30 seed2028,557,0.002821934375495336,0.023009387398548152,0.14222549252496494,0.8706770998599576,1.305046756724831,0.2655339532357142,-0.5356207399914372,-0.04919214441784702,0.5565529622980251,random_top30,2028.0
Random Top30 seed2029,557,0.002626168959555041,0.022180842801277335,0.13235891556157406,0.8405429078321199,1.2357469558275722,0.26427307143019774,-0.5008414775113927,-0.04796992409240365,0.5691202872531418,random_top30,2029.0
Random Top30 seed2030,557,0.0024097259417315583,0.022794326800379426,0.12145018746327053,0.750509425518184,1.1030211509785388,0.23752340530135232,-0.5113188205986834,-0.050036072674584355,0.5709156193895871,random_top30,2030.0
Random Top30 seed2031,557,0.002890544453027192,0.02225189420096404,0.14568344043257048,0.9222059810061853,1.387146421737187,0.2913913225072173,-0.4999580604496626,-0.04606671713817576,0.5798922800718133,random_top30,2031.0
Random Top30 seed2032,557,0.0025700334205193518,0.023127837888468186,0.12952968439417534,0.7888946386262615,1.2140540211826019,0.2519497400129603,-0.5141092203052575,-0.04846386577570367,0.5834829443447038,random_top30,2032.0
Random Top30 seed2033,557,0.002689375529055418,0.023303684510133257,0.13554452666439307,0.8192984344440017,1.221414022059595,0.2708322957096693,-0.5004740158821237,-0.05024508625583812,0.5673249551166966,random_top30,2033.0
Random Top30 seed2034,557,0.0022966945065853684,0.022766608741367714,0.11575340313190256,0.716176647618676,1.0662037358272622,0.2229500974160968,-0.5191897400962753,-0.04873295531297723,0.5691202872531418,random_top30,2034.0
Random Top30 seed2035,557,0.002285941540324901,0.022780237295729297,0.11521145363237499,0.7123971022689446,1.0993111895675827,0.22508675833817904,-0.5118535380889748,-0.04677199897522638,0.5368043087971275,random_top30,2035.0
Random Top30 seed2036,557,0.002851177468915141,0.02317453718001249,0.1436993444333231,0.8734306925322894,1.2959271106804882,0.28093365300958867,-0.5115063392865163,-0.0493346946583174,0.578096947935368,random_top30,2036.0
Random Top30 seed2037,557,0.0027002755081747,0.02307818789925944,0.1360938856120049,0.8306568303774323,1.2996641670896234,0.25869007141839395,-0.5260885540206629,-0.0482222301431355,0.5763016157989228,random_top30,2037.0
Random Top30 seed2038,557,0.0023587321739084793,0.023144619777109052,0.11888010156498735,0.7235088515011889,1.1059142551928338,0.23066952359643494,-0.5153697797242283,-0.048656760506686714,0.5439856373429084,random_top30,2038.0
Random Top30 seed2039,557,0.0025889332276367136,0.023182349431995774,0.13048223467289036,0.7928274348247271,1.185650070631758,0.2622322470139979,-0.49758271974051016,-0.04898591833477396,0.5673249551166966,random_top30,2039.0
Random Top30 seed2040,557,0.0025159907395985444,0.02276364156804656,0.12680593327576664,0.7846619041778626,1.2090196461386133,0.25760119018178573,-0.49225678338784606,-0.04757472394885761,0.5745062836624776,random_top30,2040.0
Random Top30 seed2041,557,0.0024974146199622763,0.023237970098010076,0.12586969684609872,0.7629704701844734,1.1037269916803347,0.24393340551359685,-0.5160002443334181,-0.05101811970622345,0.5619389587073609,random_top30,2041.0
Random Top30 seed2042,557,0.0028547031628182533,0.02228819550550912,0.14387703940603996,0.9092876988157316,1.3814051988733698,0.28409839382103763,-0.5064338360767804,-0.04652472987212241,0.5763016157989228,random_top30,2042.0
Random Top30 seed2043,557,0.0024143181954591887,0.023112848882563347,0.12168163705114311,0.7415770754370918,1.1210591148183051,0.23898218822078288,-0.509166134752804,-0.04894758496797156,0.5565529622980251,random_top30,2043.0
Random Top30 seed2044,557,0.0025506429023770946,0.022350104573644565,0.12855240227980555,0.8101871841684546,1.18814849342393,0.262830662906458,-0.4891073243062116,-0.04804026613810232,0.5709156193895871,random_top30,2044.0
Random Top30 seed2045,557,0.0026044670431506845,0.022490129045492583,0.1312651389747945,0.8221332010269322,1.2253870229304324,0.26326070607744306,-0.4986127285405837,-0.048588930101399974,0.5691202872531418,random_top30,2045.0
Random Top30 seed2046,557,0.0024974353942069276,0.023237406073070944,0.12587074386802916,0.7629953359925475,1.1851078331796248,0.2576040074042363,-0.4886210627558708,-0.04775787173584104,0.5601436265709157,random_top30,2046.0
Random Top30 seed2047,557,0.0026092958894459602,0.022486352118969995,0.13150851282807638,0.8237958337397026,1.236506928259554,0.2672620068178353,-0.49205839016883557,-0.04744740764804495,0.5691202872531418,random_top30,2047.0
Random Top30 seed2048,557,0.0027515858966363385,0.022424244974358964,0.13867992919047145,0.8711250726969526,1.3980721655549067,0.2904364653165442,-0.47748800771048283,-0.045394941222033504,0.5709156193895871,random_top30,2048.0
Random Top30 seed2049,557,0.002544138300476149,0.022580421231348523,0.12822457034399792,0.799878355358253,1.2230317875351489,0.2547963261725228,-0.5032434033494539,-0.047118296424747394,0.5619389587073609,random_top30,2049.0
Random Top30 seed2050,557,0.0026240404849450644,0.02307045877657556,0.13225164044123125,0.8074758987687215,1.218947896352829,0.2560017675421042,-0.5166044035984245,-0.04841195396103319,0.5727109515260324,random_top30,2050.0
Random Top30 seed2051,557,0.003152070271364569,0.022475230087335495,0.15886434167677427,0.9956507213425381,1.520412770544249,0.33281627581629114,-0.47733345157814533,-0.0467482817219792,0.5798922800718133,random_top30,2051.0
Random Top30 seed2052,557,0.0026431015234101704,0.022673343107481845,0.13321231677987258,0.8275867963467712,1.1960196569215784,0.2637826222798249,-0.505007932776401,-0.048669793058186764,0.5601436265709157,random_top30,2052.0
Random Top30 seed2053,557,0.002705178507725206,0.022887185588213985,0.13634099678935038,0.8391098233137139,1.285473996692139,0.2663189584997362,-0.5119462675785639,-0.047735136537590914,0.5601436265709157,random_top30,2053.0
Random Top30 seed2054,557,0.0029204864872060493,0.022366632273306947,0.14719251895518487,0.9269789489620343,1.3574164902309331,0.30024865981625676,-0.4902353903769706,-0.04752304883937662,0.5816876122082585,random_top30,2054.0
Random Top30 seed2055,557,0.0025790071567659274,0.02301632700371201,0.12998196070100274,0.7954846365270056,1.2059372499812058,0.25829889233483727,-0.5032230666034173,-0.049345877390554425,0.5601436265709157,random_top30,2055.0
Random Top30 seed2056,557,0.002204451244155013,0.021957835312658828,0.11110434270541265,0.7127319748603257,1.0760754564731552,0.23210697182815462,-0.47867731774843514,-0.04617152049328155,0.5547576301615799,random_top30,2056.0
Random Top30 seed2057,557,0.0029633138785420186,0.02284303945801048,0.14935101947851773,0.9209563215987808,1.429804846181971,0.2898199597569145,-0.5153234428842837,-0.0477291223011423,0.5601436265709157,random_top30,2057.0
Random Top30 seed2058,557,0.0026733239520421834,0.023212962891903565,0.13473552718292603,0.8175913360135018,1.2785289180118187,0.2729995368817351,-0.49353756684684114,-0.04753314461634449,0.5637342908438061,random_top30,2058.0
Random Top30 seed2059,557,0.002240668462889513,0.022875544356562142,0.11292969052963146,0.6953787776487284,1.0343513947164997,0.23928614854940006,-0.4719441188478045,-0.049695855126760544,0.5691202872531418,random_top30,2059.0
Random Top30 seed2060,557,0.0025699509346839827,0.02293795557694618,0.12952552710807272,0.795399644954725,1.1679726655113707,0.24830575191150772,-0.5216372400194482,-0.04952883081031696,0.5727109515260324,random_top30,2060.0
Random Top30 seed2061,557,0.0021336502456382137,0.023046255933129537,0.10753597238016596,0.6572613852272704,0.9708079323919735,0.20238312873027592,-0.5313485024904593,-0.049804497925742035,0.5547576301615799,random_top30,2061.0
Random Top30 seed2062,557,0.0029140520920051243,0.02234984238778562,0.14686822543705827,0.9256314761932641,1.4203968621570364,0.2899137350372796,-0.506592850518699,-0.04676513577938922,0.5637342908438061,random_top30,2062.0
Random Top30 seed2063,557,0.00257096318850675,0.02277030776910899,0.1295765447007402,0.8015714234615259,1.1291306069494094,0.24238784979088024,-0.5345834983582394,-0.05019656503874631,0.5709156193895871,random_top30,2063.0
Random Top30 seed2064,557,0.0026316296007113005,0.021960933573854733,0.13263413187584955,0.8507250727761412,1.2607772152290573,0.2649364077707631,-0.500626293652368,-0.04770132235676006,0.5745062836624776,random_top30,2064.0
Random Top30 seed2065,557,0.002886855610069456,0.022888777209992064,0.14549752274750058,0.8954013377702253,1.362492342041911,0.2888018759761215,-0.5037970139762198,-0.04727350832459827,0.5439856373429084,random_top30,2065.0
Random Top30 seed2066,557,0.0026533519624815896,0.02301894531222597,0.13372893890907211,0.8183229087049977,1.1403940177959748,0.2604134777533677,-0.5135254137488385,-0.05155660825657348,0.578096947935368,random_top30,2066.0
Random Top30 seed2067,557,0.00300782009716163,0.022292513525451346,0.15159413289694615,0.9578733406281532,1.3934680428635082,0.2973109290809772,-0.5098841585324203,-0.04799972195612888,0.5637342908438061,random_top30,2067.0
Random Top30 seed2068,557,0.002784669206259083,0.022391509493261765,0.1403473279954578,0.8828877855899981,1.355419810902122,0.29335593301304846,-0.4784199404251188,-0.04715821352399265,0.5727109515260324,random_top30,2068.0
