model,n_days,mean_ret,std_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,worst_5pct_day_mean,positive_day_ratio,kind,seed
Action Admission Base,1041,0.043852,0.088544,2.210149,3.516003,10.781277,3.987505,-0.554269,-0.089072,0.663785,model,
SPD-Riemannian PPO Gate,557,0.040063,0.082626,2.019169,3.442246,11.578491,6.670241,-0.302713,-0.075633,0.61939,model,
Random Top30 seed2026,557,0.002837,0.022529,0.14299,0.894008,1.34816,0.291457,-0.490605,-0.046939,0.563734,random_top30,2026.0
Random Top30 seed2027,557,0.002613,0.022914,0.131715,0.809686,1.259842,0.268594,-0.490387,-0.048127,0.56912,random_top30,2027.0
Random Top30 seed2028,557,0.002822,0.023009,0.142225,0.870677,1.305047,0.265534,-0.535621,-0.049192,0.556553,random_top30,2028.0
Random Top30 seed2029,557,0.002626,0.022181,0.132359,0.840543,1.235747,0.264273,-0.500841,-0.04797,0.56912,random_top30,2029.0
Random Top30 seed2030,557,0.00241,0.022794,0.12145,0.750509,1.103021,0.237523,-0.511319,-0.050036,0.570916,random_top30,2030.0
Random Top30 seed2031,557,0.002891,0.022252,0.145683,0.922206,1.387146,0.291391,-0.499958,-0.046067,0.579892,random_top30,2031.0
Random Top30 seed2032,557,0.00257,0.023128,0.12953,0.788895,1.214054,0.25195,-0.514109,-0.048464,0.583483,random_top30,2032.0
Random Top30 seed2033,557,0.002689,0.023304,0.135545,0.819298,1.221414,0.270832,-0.500474,-0.050245,0.567325,random_top30,2033.0
Random Top30 seed2034,557,0.002297,0.022767,0.115753,0.716177,1.066204,0.22295,-0.51919,-0.048733,0.56912,random_top30,2034.0
Random Top30 seed2035,557,0.002286,0.02278,0.115211,0.712397,1.099311,0.225087,-0.511854,-0.046772,0.536804,random_top30,2035.0
Random Top30 seed2036,557,0.002851,0.023175,0.143699,0.873431,1.295927,0.280934,-0.511506,-0.049335,0.578097,random_top30,2036.0
Random Top30 seed2037,557,0.0027,0.023078,0.136094,0.830657,1.299664,0.25869,-0.526089,-0.048222,0.576302,random_top30,2037.0
Random Top30 seed2038,557,0.002359,0.023145,0.11888,0.723509,1.105914,0.23067,-0.51537,-0.048657,0.543986,random_top30,2038.0
Random Top30 seed2039,557,0.002589,0.023182,0.130482,0.792827,1.18565,0.262232,-0.497583,-0.048986,0.567325,random_top30,2039.0
Random Top30 seed2040,557,0.002516,0.022764,0.126806,0.784662,1.20902,0.257601,-0.492257,-0.047575,0.574506,random_top30,2040.0
Random Top30 seed2041,557,0.002497,0.023238,0.12587,0.76297,1.103727,0.243933,-0.516,-0.051018,0.561939,random_top30,2041.0
Random Top30 seed2042,557,0.002855,0.022288,0.143877,0.909288,1.381405,0.284098,-0.506434,-0.046525,0.576302,random_top30,2042.0
Random Top30 seed2043,557,0.002414,0.023113,0.121682,0.741577,1.121059,0.238982,-0.509166,-0.048948,0.556553,random_top30,2043.0
Random Top30 seed2044,557,0.002551,0.02235,0.128552,0.810187,1.188148,0.262831,-0.489107,-0.04804,0.570916,random_top30,2044.0
Random Top30 seed2045,557,0.002604,0.02249,0.131265,0.822133,1.225387,0.263261,-0.498613,-0.048589,0.56912,random_top30,2045.0
Random Top30 seed2046,557,0.002497,0.023237,0.125871,0.762995,1.185108,0.257604,-0.488621,-0.047758,0.560144,random_top30,2046.0
Random Top30 seed2047,557,0.002609,0.022486,0.131509,0.823796,1.236507,0.267262,-0.492058,-0.047447,0.56912,random_top30,2047.0
Random Top30 seed2048,557,0.002752,0.022424,0.13868,0.871125,1.398072,0.290436,-0.477488,-0.045395,0.570916,random_top30,2048.0
Random Top30 seed2049,557,0.002544,0.02258,0.128225,0.799878,1.223032,0.254796,-0.503243,-0.047118,0.561939,random_top30,2049.0
Random Top30 seed2050,557,0.002624,0.02307,0.132252,0.807476,1.218948,0.256002,-0.516604,-0.048412,0.572711,random_top30,2050.0
Random Top30 seed2051,557,0.003152,0.022475,0.158864,0.995651,1.520413,0.332816,-0.477333,-0.046748,0.579892,random_top30,2051.0
Random Top30 seed2052,557,0.002643,0.022673,0.133212,0.827587,1.19602,0.263783,-0.505008,-0.04867,0.560144,random_top30,2052.0
Random Top30 seed2053,557,0.002705,0.022887,0.136341,0.83911,1.285474,0.266319,-0.511946,-0.047735,0.560144,random_top30,2053.0
Random Top30 seed2054,557,0.00292,0.022367,0.147193,0.926979,1.357416,0.300249,-0.490235,-0.047523,0.581688,random_top30,2054.0
Random Top30 seed2055,557,0.002579,0.023016,0.129982,0.795485,1.205937,0.258299,-0.503223,-0.049346,0.560144,random_top30,2055.0
Random Top30 seed2056,557,0.002204,0.021958,0.111104,0.712732,1.076075,0.232107,-0.478677,-0.046172,0.554758,random_top30,2056.0
Random Top30 seed2057,557,0.002963,0.022843,0.149351,0.920956,1.429805,0.28982,-0.515323,-0.047729,0.560144,random_top30,2057.0
Random Top30 seed2058,557,0.002673,0.023213,0.134736,0.817591,1.278529,0.273,-0.493538,-0.047533,0.563734,random_top30,2058.0
