model,n_days,mean_ret,std_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,worst_5pct_day_mean,positive_day_ratio,regime_type,regime,gate_mean
Base,186,0.033083107584418334,0.07949312318120061,1.6673886222546839,2.9545544989517794,8.758465798365417,3.8188733966595496,-0.43661793651320946,-0.08456590483721527,0.6075268817204301,riem_regime,low_riem,
SPD-Riemannian PPO Gate,186,0.034273633948730696,0.071528508581858,1.7273911510160271,3.401701899019386,9.62399287816157,8.119240298990379,-0.21275280536170693,-0.07631729407231759,0.6075268817204301,riem_regime,low_riem,0.8301075268817205
Base,185,0.047564766177305935,0.0986682588007619,2.397264215336219,3.422340132353654,11.758939449229581,4.481718254098821,-0.5348984651464348,-0.09137588889597428,0.6270270270270271,riem_regime,mid_riem,
SPD-Riemannian PPO Gate,185,0.04518173126951677,0.09085926537520654,2.277159255983645,3.530278073350584,12.091403592944864,9.219505601951386,-0.24699364090647824,-0.07934809706774344,0.6270270270270271,riem_regime,mid_riem,0.7859459459459458
Base,186,0.04308935804615508,0.10222249503357886,2.171703645526216,2.9925320831176427,8.997587826440682,4.77891593081248,-0.4544343690007112,-0.10756796116985852,0.6236559139784946,riem_regime,high_riem,
SPD-Riemannian PPO Gate,186,0.040760758762175865,0.08400547826518023,2.0543422416136634,3.444688215625507,14.403577239065239,9.544209249821487,-0.2152448870137762,-0.054003588637349144,0.6236559139784946,riem_regime,high_riem,0.6612903225806452
Base,212,-0.040741816754408376,0.029970827043254836,-2.053387564422182,-9.650658144854258,-9.650658144854258,-2.0536808416346672,-0.9998571943573026,-0.12166367236591738,0.0,base_down,base_down,
SPD-Riemannian PPO Gate,212,-0.02403336755215108,0.024564352953374273,-1.2112817246284144,-6.94583668448156,-6.94583668448156,-1.218300439027943,-0.9942389297625727,-0.09615762457937418,0.0,base_down,base_down,0.6433962264150944
Base,345,0.09160818986093573,0.08426820887661605,4.617052768991161,7.71766293211946,650353632003.1598,4617052768991.161,0.0,0.0037302607797894106,1.0,base_down,base_up,
SPD-Riemannian PPO Gate,345,0.07944953985549348,0.08108961704439475,4.004256808716871,6.9557090090829465,564035779818.7827,4004256808716.871,0.0,0.001720288775391061,1.0,base_down,base_up,0.8301449275362318
Base,56,-0.08013983687851198,0.023735913650868353,-4.039047778677004,-23.969433445955637,-23.969433445955637,-4.078961189517668,-0.9902148098532452,-0.14694349717341024,0.0,base_tail,base_worst10pct,
SPD-Riemannian PPO Gate,56,-0.04499762119535026,0.03388519023299979,-2.267880108245653,-9.427464277257013,-9.427464277257013,-2.4611719649148918,-0.9214634899857869,-0.1276989336805424,0.0,base_tail,base_worst10pct,0.5714285714285714
Base,501,0.054801180070428994,0.08926050284282584,2.761979475549621,4.3585883096654445,24.070833043208047,9.492080588034378,-0.29097724676203707,-0.050787940370067515,0.688622754491018,base_tail,normal,
SPD-Riemannian PPO Gate,501,0.049570626978101474,0.08101010797981253,2.498359599696314,4.344106552833614,25.303048908702586,11.684308563676518,-0.21382177525361368,-0.040959949768729735,0.688622754491018,base_tail,normal,0.7800399201596807
