model,constraint,renorm,cost_bps,n_days,mean_ret,std_ret,ann_sharpe_like,max_drawdown_like,positive_day_ratio,turnover_mean,avg_n_holding,kept_ratio_rows,delta_mean_ret_vs_base5,delta_ann_sharpe_vs_base5,delta_maxdd_vs_base5,delta_positive_vs_base5,ann_ret_like,paper_interpretation,gate_mean
V2X-B Cross Action Admission,base_cost_5bps,False,5,557,0.0412343991922589,0.0942637551933853,3.1054904815943,-0.5542686967028546,0.6193895870736086,0.7272895604549978,30.0,1.0,0.0,0.0,2.220446049250313e-16,0.0,,Base 5bps transaction-cost setting.,
V2X-B Cross Action Admission,base_cost_10bps,False,10,557,0.0408707544120314,0.094275170032207,3.0777305686561616,-0.5633665779785666,0.6157989228007181,0.7272895604549978,30.0,1.0,-0.0003636447802275,-0.0277599129381385,-0.0090978812757117,-0.0035906642728904,,Cost sensitivity: performance degrades smoothly as transaction cost increases.,
V2X-B Cross Action Admission,base_cost_20bps,False,20,557,0.0401434648515764,0.0942984454775547,3.022216618228242,-0.5810197732658927,0.6140035906642729,0.7272895604549978,30.0,1.0,-0.0010909343406825,-0.0832738633660579,-0.0267510765630378,-0.0053859964093356,,Cost sensitivity: performance degrades smoothly as transaction cost increases.,
V2X-B Cross Action Admission,base_cost_30bps,False,30,557,0.0394161752911214,0.0943223149120048,2.9667113829679312,-0.5979730018014927,0.6104129263913824,0.7272895604549978,30.0,1.0,-0.0018182239011374,-0.1387790986263688,-0.0437043050986378,-0.0089766606822261,,Cost sensitivity: performance degrades smoothly as transaction cost increases.,
V2X-B Cross Action Admission,exclude_limit_up_est_no_renorm,False,5,557,0.0039414663166514,0.020228995243846,1.3832439372974297,-0.3553631361470506,0.5834829443447038,0.0542188888352043,19.201077199281865,0.6400359066427289,-0.0372929328756075,-1.7222465442968704,0.1989055605558042,-0.0359066427289047,,"Removing limit-up-estimated candidates destroys much of the alpha, showing that A-share short-horizon opportunities concentrate around strong limit-up states.",
V2X-B Cross Action Admission,exclude_limit_down_est_no_renorm,False,5,557,0.0411343650203677,0.0941399474670709,3.102030861491718,-0.5350311938569647,0.6211849192100538,0.3614067987275161,29.833034111310592,0.9944344703770196,-0.0001000341718912,-0.003459620102582,0.01923750284589,0.0017953321364452,,"Removing limit-down-estimated candidates has little impact, suggesting the strategy is not driven by naive limit-down reversal.",
V2X-B Cross Action Admission,exclude_broken_limit_est_no_renorm,False,5,557,0.0417057779322475,0.093987802881213,3.1502135651276792,-0.5494539435936121,0.6211849192100538,0.3615987484750524,29.81149012567325,0.9937163375224416,0.0004713787399885,0.0447230835333791,0.0048147531092427,0.0017953321364452,,"Broken-limit filtering has limited effect, supporting that the main signal is strong-state continuation rather than broken-board noise.",
V2X-B Cross Action Admission,exclude_any_limit_est_no_renorm,False,5,557,0.0039491661045212,0.0183683884177262,1.5263341269879775,-0.2723302153527331,0.5816876122082585,0.0499348755827754,18.84560143626571,0.6281867145421903,-0.0372852330877377,-1.5791563546063223,0.2819384813501217,-0.03770197486535,,,
V2X-B Cross Action Admission,amount_held_top90pct_no_renorm,False,5,557,0.0271107232207309,0.0772534995060683,2.4913698808432727,-0.5606548653759624,0.5601436265709157,0.2949478283980425,28.0,0.9333333333333332,-0.014123675971528,-0.6141206007510274,-0.0063861686731075,-0.0592459605026929,,Liquidity filter exposes a capacity trade-off: stricter liquidity constraints reduce return and breadth.,
V2X-B Cross Action Admission,amount_held_top80pct_no_renorm,False,5,557,0.0182370914152409,0.0640044622442052,2.022835609384328,-0.5863190472102897,0.5565529622980251,0.2402962681917123,25.0,0.8333333333333334,-0.022997307777018,-1.0826548722099725,-0.0320503505074348,-0.0628366247755835,,Liquidity filter exposes a capacity trade-off: stricter liquidity constraints reduce return and breadth.,
