model,gate,n_days,ratio,mean_ret,min_ret,positive_day_ratio
Riemannian-PPO Gate,0.2,161,0.289048473967684,0.0009353177459945163,-0.0296845381907592,0.43478260869565216
Riemannian-PPO Gate,0.4,1,0.0017953321364452424,0.0118627100865002,0.0118627100865002,1.0
Riemannian-PPO Gate,0.6,12,0.02154398563734291,0.004050540931101417,-0.0458732333399796,0.4166666666666667
Riemannian-PPO Gate,1.0,383,0.6876122082585279,0.05771269444053364,-0.1501355296335691,0.7023498694516971
Current PG Gate,0.2,108,0.19389587073608616,-0.0006965314137521375,-0.0296845381907592,0.37962962962962965
Current PG Gate,0.8,56,0.10053859964093358,0.031529373672916715,-0.0537265049736407,0.6964285714285714
Current PG Gate,1.0,393,0.7055655296229802,0.053782776479415366,-0.1501355296335691,0.6743002544529262
PPO Gate,0.2,124,0.22262118491921004,-0.00047939298879125274,-0.0296845381907592,0.3951612903225806
PPO Gate,0.4,1,0.0017953321364452424,0.0110884519271816,0.0110884519271816,1.0
PPO Gate,0.6,26,0.0466786355475763,0.08429517907603726,-0.0087304262733744,0.9615384615384616
PPO Gate,0.8,14,0.025134649910233394,0.01487940660676725,-0.0537265049736407,0.5714285714285714
PPO Gate,1.0,392,0.703770197486535,0.04929561776634567,-0.1501355296335691,0.6683673469387755
