comparison,metric,n_days,observed_delta,boot_mean,ci_low,ci_high,p_value_two_sided,win_rate,block_size,n_boot
Riemannian-PPO Gate - Current PG Gate,mean_ret,557,-0.0009192699467129,-0.0008800686352564,-0.0034838134139178,0.0011915000272578,0.473,0.2365,10,2000
Riemannian-PPO Gate - Current PG Gate,ann_sharpe_like,557,0.086943987238405,0.084064692018943,-0.0713306982858794,0.239610606824857,0.318,0.841,10,2000
Riemannian-PPO Gate - Current PG Gate,sortino_like,557,0.2463028950653569,0.2858281731487855,-0.8389375045084692,1.5852410750477652,0.632,0.684,10,2000
Riemannian-PPO Gate - Current PG Gate,calmar_like,557,-0.4599616471944587,0.4942259417182608,-1.668598400725726,3.062939721610405,0.65,0.675,10,2000
Riemannian-PPO Gate - Current PG Gate,max_drawdown_like,557,-0.0130298080229844,0.0270337339704258,-0.0567574193033059,0.1229868096944988,0.542,0.729,10,2000
Riemannian-PPO Gate - Current PG Gate,worst_5pct_day_mean,557,0.0035903117890583,0.0039052114424848,-0.0007838044071186,0.009908760280996,0.121,0.9395,10,2000
Riemannian-PPO Gate - V2X-B Base,mean_ret,557,-0.0011715314560126,-0.001216711851227,-0.0046003641316834,0.0019523038689471,0.446,0.223,10,2000
Riemannian-PPO Gate - V2X-B Base,ann_sharpe_like,557,0.3339643530349274,0.328246182602696,0.0816289574192293,0.5875918064704803,0.006,0.997,10,2000
Riemannian-PPO Gate - V2X-B Base,sortino_like,557,1.8111533826528827,1.828833481931792,-0.2295554880397075,4.498793590670108,0.086,0.957,10,2000
Riemannian-PPO Gate - V2X-B Base,calmar_like,557,2.920770769491728,3.0931064576294283,1.0596855440438848,6.219551303433489,0.0,1.0,10,2000
Riemannian-PPO Gate - V2X-B Base,max_drawdown_like,557,0.2515556949993944,0.2317039404862287,0.1048358266614898,0.3816797759989412,0.0,1.0,10,2000
Riemannian-PPO Gate - V2X-B Base,worst_5pct_day_mean,557,0.0205150224802887,0.0207093197521415,0.0084057067188976,0.0374517823798737,0.0,1.0,10,2000
Current PG Gate - V2X-B Base,mean_ret,557,-0.0002522615092996,-0.0003366432159706,-0.0029731115674226,0.0023300939070684,0.79,0.395,10,2000
Current PG Gate - V2X-B Base,ann_sharpe_like,557,0.2470203657965224,0.244181490583753,0.0130442042786337,0.5011756059761883,0.037,0.9815,10,2000
Current PG Gate - V2X-B Base,sortino_like,557,1.5648504875875258,1.543005308783007,-0.2624697478725469,3.9958383812964335,0.12,0.94,10,2000
Current PG Gate - V2X-B Base,calmar_like,557,3.380732416686187,2.598880515911167,0.5582962788797149,5.591296658917359,0.006,0.997,10,2000
Current PG Gate - V2X-B Base,max_drawdown_like,557,0.2645855030223789,0.2046702065158029,0.0625006659713979,0.3678080406252129,0.005,0.9975,10,2000
Current PG Gate - V2X-B Base,worst_5pct_day_mean,557,0.0169247106912304,0.0168041083096566,0.0057070182880843,0.0314969216829105,0.0,1.0,10,2000
