model,year,n_days,mean_ret,std_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,worst_5pct_day_mean,positive_day_ratio,gate_mean
Riemannian-PPO Gate,2024,242,0.03986318548703905,0.08694753540355303,2.0091045485467682,3.2548426080887114,11.175921049506696,6.636994569909158,-0.3027130017034604,-0.07773972229995046,0.5909090909090909,0.7132231404958678
Riemannian-PPO Gate,2025,243,0.043629178239094804,0.08410078618727808,2.198910583250378,3.6829196639201456,14.367060412287698,11.253098445839225,-0.19540490059992444,-0.06600032432322982,0.6337448559670782,0.7958847736625515
Riemannian-PPO Gate,2026,72,0.02869772401563521,0.057978860807560796,1.4463652903880144,3.513929508205826,6.604215642104304,7.927526086303134,-0.18244850595786588,-0.08522010370421448,0.6666666666666666,0.788888888888889
Current PG Gate,2024,242,0.04194483616600536,0.09470042229713897,2.1140197427666703,3.144429448922872,11.139623254979764,7.297695513183481,-0.2896831936804759,-0.08193905083088807,0.5909090909090909,0.7842975206611571
Current PG Gate,2025,243,0.042819768921557054,0.08497385680881218,2.1581163536464754,3.5774556374974376,13.263001965175905,9.062810392848293,-0.23812882098355526,-0.07056160857062993,0.6337448559670782,0.8526748971193415
Current PG Gate,2026,72,0.03154439568467618,0.05959324866885609,1.5898375425076794,3.757858463810909,7.356526484301406,9.128656481845697,-0.17415898447590994,-0.08522010370421448,0.6666666666666666,0.8666666666666667
PPO Gate,2024,242,0.04096725423557296,0.09288583018113869,2.064749613472877,3.1311412396857468,10.913397096411838,5.918147008490331,-0.3488844752438106,-0.08193905083088807,0.5909090909090909,0.7834710743801654
PPO Gate,2025,243,0.03997230798401789,0.07849279015188952,2.0146043223945016,3.615303204645533,12.50112882511549,9.41293356779525,-0.21402512913584426,-0.06977457133029796,0.6337448559670782,0.8148148148148148
PPO Gate,2026,72,0.02844674818154551,0.05685679693967862,1.4337161083498935,3.5519390652339853,6.492748853885671,7.858195937658117,-0.18244850595786577,-0.08522010370421448,0.6666666666666666,0.7833333333333333
V2X-B Base,2024,242,0.042028987365359455,0.1037819492595573,2.1182609632141163,2.875029936095994,9.297058368223375,3.821722164385052,-0.5542686967028548,-0.10458307063470446,0.5909090909090909,1.0
V2X-B Base,2025,243,0.04356463953367765,0.09098756669062212,2.1956578324973535,3.399126617985837,12.308049263799623,5.028785235053957,-0.43661793651320946,-0.07878276352474761,0.6337448559670782,1.0
V2X-B Base,2026,72,0.03069913890260549,0.06590396278863099,1.5472366006913167,3.306967544930735,5.999694033322502,3.8956173746073763,-0.39717365744813593,-0.11135334951964942,0.6666666666666666,1.0
V2X-G Geometry Overlay,2024,242,0.031904070985371624,0.08555609336296725,1.6079651776627297,2.6473442898480566,8.384550023930316,3.417937214193467,-0.4704490097083782,-0.08487477068125357,0.5826446280991735,
V2X-G Geometry Overlay,2025,243,0.028938723924647827,0.05136841825196859,1.4585116858022504,3.999433240545595,11.006835260217096,4.895732072424178,-0.29791493166415284,-0.056573191381822714,0.7160493827160493,
V2X-G Geometry Overlay,2026,72,0.025960629831683978,0.048099875274808926,1.3084157435168724,3.831656271695856,10.00700119394502,6.376406299472383,-0.20519641974902658,-0.05504311210379618,0.6805555555555556,
