model,year,n_days,mean_ret,std_ret,ann_ret_like,ann_sharpe_like,sortino_like,calmar_like,max_drawdown_like,worst_5pct_day_mean,positive_day_ratio,gate_mean
Riemannian-PPO Gate,2024,242,0.039863,0.086948,2.009105,3.254843,11.175921,6.636995,-0.302713,-0.07774,0.590909,0.713223
Riemannian-PPO Gate,2025,243,0.043629,0.084101,2.198911,3.68292,14.36706,11.253098,-0.195405,-0.066,0.633745,0.795885
Riemannian-PPO Gate,2026,72,0.028698,0.057979,1.446365,3.51393,6.604216,7.927526,-0.182449,-0.08522,0.666667,0.788889
Current PG Gate,2024,242,0.041945,0.0947,2.11402,3.144429,11.139623,7.297696,-0.289683,-0.081939,0.590909,0.784298
Current PG Gate,2025,243,0.04282,0.084974,2.158116,3.577456,13.263002,9.06281,-0.238129,-0.070562,0.633745,0.852675
Current PG Gate,2026,72,0.031544,0.059593,1.589838,3.757858,7.356526,9.128656,-0.174159,-0.08522,0.666667,0.866667
PPO Gate,2024,242,0.040967,0.092886,2.06475,3.131141,10.913397,5.918147,-0.348884,-0.081939,0.590909,0.783471
PPO Gate,2025,243,0.039972,0.078493,2.014604,3.615303,12.501129,9.412934,-0.214025,-0.069775,0.633745,0.814815
PPO Gate,2026,72,0.028447,0.056857,1.433716,3.551939,6.492749,7.858196,-0.182449,-0.08522,0.666667,0.783333
V2X-B Base,2024,242,0.042029,0.103782,2.118261,2.87503,9.297058,3.821722,-0.554269,-0.104583,0.590909,1.0
V2X-B Base,2025,243,0.043565,0.090988,2.195658,3.399127,12.308049,5.028785,-0.436618,-0.078783,0.633745,1.0
V2X-B Base,2026,72,0.030699,0.065904,1.547237,3.306968,5.999694,3.895617,-0.397174,-0.111353,0.666667,1.0
V2X-G Geometry Overlay,2024,242,0.031904,0.085556,1.607965,2.647344,8.38455,3.417937,-0.470449,-0.084875,0.582645,
V2X-G Geometry Overlay,2025,243,0.028939,0.051368,1.458512,3.999433,11.006835,4.895732,-0.297915,-0.056573,0.716049,
V2X-G Geometry Overlay,2026,72,0.025961,0.0481,1.308416,3.831656,10.007001,6.376406,-0.205196,-0.055043,0.680556,
