Date,model,nav,drawdown
2024-01-02,V2X-B Base,0.9322314117614866,0.0
2024-01-03,V2X-B Base,0.9231967720030535,-0.009691413145328176
2024-01-04,V2X-B Base,0.9403388279733096,0.0
2024-01-05,V2X-B Base,0.9823215578070831,0.0
2024-01-08,V2X-B Base,1.0596748033685464,0.0
2024-01-09,V2X-B Base,1.1485611707662178,0.0
2024-01-10,V2X-B Base,1.1328474908472965,-0.01368118679167818
2024-01-11,V2X-B Base,1.247599708693823,0.0
2024-01-12,V2X-B Base,1.3270029670749133,0.0
2024-01-15,V2X-B Base,1.1844824538507988,-0.10740029733186629
2024-01-16,V2X-B Base,1.4381485250314405,0.0
2024-01-17,V2X-B Base,1.6690289636014173,0.0
2024-01-18,V2X-B Base,1.7420311548715401,0.0
2024-01-19,V2X-B Base,1.7151014950790324,-0.015458770480194728
2024-01-22,V2X-B Base,1.531460263893811,-0.12087665044845708
2024-01-23,V2X-B Base,1.572159077577031,-0.09751379980746422
2024-01-24,V2X-B Base,1.5483069041772612,-0.11120596216234968
2024-01-25,V2X-B Base,1.5068074376156386,-0.13502842162042006
2024-01-26,V2X-B Base,1.4658418044910901,-0.15854443797293427
2024-01-29,V2X-B Base,1.3966275590057495,-0.19827635969648383
2024-01-30,V2X-B Base,1.197926184538577,-0.31233940266302895
2024-01-31,V2X-B Base,1.0201267566653478,-0.41440383898267685
2024-02-01,V2X-B Base,1.0581495210465672,-0.39257715449721864
2024-02-02,V2X-B Base,1.026179770776151,-0.410929151349292
2024-02-05,V2X-B Base,1.1143064891559447,-0.360340665527239
2024-02-06,V2X-B Base,1.188262423036718,-0.31788681292307763
2024-02-07,V2X-B Base,1.338081733898595,-0.23188415422038355
2024-02-08,V2X-B Base,1.6001652392561578,-0.08143707144310153
2024-02-19,V2X-B Base,2.0460291879178736,0.0
2024-02-20,V2X-B Base,2.628043326723508,0.0
2024-02-21,V2X-B Base,2.7025022917340356,0.0
2024-02-22,V2X-B Base,2.905166266411689,0.0
2024-02-23,V2X-B Base,3.018141611852387,0.0
2024-02-26,V2X-B Base,3.0672253618431733,0.0
2024-02-27,V2X-B Base,3.567616625873275,0.0
2024-02-28,V2X-B Base,3.9886832982687004,0.0
2024-02-29,V2X-B Base,4.092527866100547,0.0
2024-03-01,V2X-B Base,4.772762788143967,0.0
2024-03-04,V2X-B Base,5.302516571920119,0.0
2024-03-05,V2X-B Base,5.465111569501706,0.0
2024-03-06,V2X-B Base,5.3855903134462055,-0.01455071045562395
2024-03-07,V2X-B Base,5.173393037705873,-0.053378330540181596
2024-03-08,V2X-B Base,5.33666073119639,-0.023503790667722346
2024-03-11,V2X-B Base,5.769156128157584,0.0
2024-03-12,V2X-B Base,5.9387892184643745,0.0
2024-03-13,V2X-B Base,5.983836093255258,0.0
2024-03-14,V2X-B Base,5.689359341336259,-0.04921203511087491
2024-03-15,V2X-B Base,5.8254735021728,-0.02646506164514728
2024-03-18,V2X-B Base,5.493711946456928,-0.08190801672371639
2024-03-19,V2X-B Base,5.604876447706302,-0.06333055244880514
2024-03-20,V2X-B Base,5.184113611258389,-0.13364712360659148
2024-03-21,V2X-B Base,4.810843787957075,-0.19602681073105144
2024-03-22,V2X-B Base,5.065577145964887,-0.1534565674894398
2024-03-25,V2X-B Base,5.185443744278483,-0.13342483593036436
2024-03-26,V2X-B Base,5.908464978581787,-0.012595785295393847
2024-03-27,V2X-B Base,5.4607534968363165,-0.08741592989295599
2024-03-28,V2X-B Base,5.268734387464585,-0.11950556376313637
2024-03-29,V2X-B Base,5.124706407168296,-0.14357507002161018
2024-04-01,V2X-B Base,5.380273516568329,-0.10086549285118962
2024-04-02,V2X-B Base,5.240445572986899,-0.12423310209086091
2024-04-03,V2X-B Base,4.9784330317386285,-0.16801981970226088
2024-04-08,V2X-B Base,4.8208253737599955,-0.19435871928480153
2024-04-09,V2X-B Base,4.396057512329971,-0.2653445977096478
2024-04-10,V2X-B Base,4.245346999382201,-0.29053086795485805
2024-04-11,V2X-B Base,3.9620925238380957,-0.3378674712858514
2024-04-12,V2X-B Base,3.4491117538058305,-0.4235952155017194
2024-04-15,V2X-B Base,3.3274670943662548,-0.4439240910831693
2024-04-16,V2X-B Base,3.3161582434692165,-0.44581399092681395
2024-04-17,V2X-B Base,3.305629087548637,-0.4475735905810303
2024-04-18,V2X-B Base,3.21638397824477,-0.4624879545296787
2024-04-19,V2X-B Base,3.357953493153355,-0.4388292993288525
2024-04-22,V2X-B Base,3.95913252310594,-0.3383621373639366
2024-04-23,V2X-B Base,4.133216313857861,-0.3092697979283461
2024-04-24,V2X-B Base,4.416071930975058,-0.26199985057199704
2024-04-25,V2X-B Base,4.6845658698018955,-0.2171299820390883
2024-04-26,V2X-B Base,4.546095023343065,-0.24027079744593238
2024-04-29,V2X-B Base,5.029577314285201,-0.15947274692996005
2024-04-30,V2X-B Base,5.288926089958925,-0.1161311895022673
2024-05-06,V2X-B Base,5.3644895987050445,-0.10350325191031151
2024-05-07,V2X-B Base,5.474215128161071,-0.08516626410750305
2024-05-08,V2X-B Base,5.342982069674086,-0.10709752299256936
2024-05-09,V2X-B Base,5.041488603358042,-0.15748216949982852
2024-05-10,V2X-B Base,4.697573094092231,-0.21495625533808504
2024-05-13,V2X-B Base,4.279543497894735,-0.28481605592130677
2024-05-14,V2X-B Base,4.301414682233729,-0.2811610118996888
2024-05-15,V2X-B Base,4.311504066662166,-0.2794749054838046
2024-05-16,V2X-B Base,4.164773374191625,-0.30399608056009564
2024-05-17,V2X-B Base,4.01834460627547,-0.3284667989477874
2024-05-20,V2X-B Base,4.026716748991961,-0.32706767260374725
2024-05-21,V2X-B Base,3.9488112608456443,-0.3400869944789118
2024-05-22,V2X-B Base,3.7708443552360857,-0.3698282679422935
2024-05-23,V2X-B Base,3.5828152305603345,-0.40125110803106034
2024-05-24,V2X-B Base,3.6739625313124806,-0.3860188557882417
2024-05-27,V2X-B Base,3.4645307007479995,-0.4210184492431066
2024-05-28,V2X-B Base,3.231859293341664,-0.45990176820108974
2024-05-29,V2X-B Base,3.068960795192754,-0.4871248564692531
2024-05-30,V2X-B Base,2.9385846494361902,-0.508912910775005
2024-05-31,V2X-B Base,2.7042860023390274,-0.548068168948145
2024-06-03,V2X-B Base,2.6671830605631635,-0.5542686967028548
2024-06-04,V2X-B Base,3.3985124528634163,-0.43205121265034574
2024-06-05,V2X-B Base,3.3248081453995164,-0.44436844633042205
2024-06-06,V2X-B Base,3.508676654297481,-0.41364091535656833
2024-06-07,V2X-B Base,3.4346140479178695,-0.4260180268324478
2024-06-11,V2X-B Base,3.531565291363496,-0.40981583781278097
2024-06-12,V2X-B Base,3.6742025574701933,-0.38597874336638194
2024-06-13,V2X-B Base,3.5953911308517843,-0.3991494628496983
2024-06-14,V2X-B Base,3.4792947640963394,-0.4185511250854511
2024-06-17,V2X-B Base,3.2883538418895104,-0.45046057568388076
2024-06-18,V2X-B Base,3.192552709939486,-0.46647056166227474
2024-06-19,V2X-B Base,3.131895558551869,-0.47660739536598984
2024-06-20,V2X-B Base,3.2220229059994683,-0.4615455945340474
2024-06-21,V2X-B Base,3.5756732652142444,-0.4024446509748819
2024-06-24,V2X-B Base,3.8850829023092723,-0.35073707872974946
2024-06-25,V2X-B Base,4.1846634082950525,-0.300672120178586
2024-06-26,V2X-B Base,4.41513230966785,-0.26215687715035985
2024-06-27,V2X-B Base,4.312878633675504,-0.27924519213739685
2024-06-28,V2X-B Base,4.796412636454112,-0.19843849970081273
2024-07-01,V2X-B Base,4.971463409432751,-0.16918456121544057
2024-07-02,V2X-B Base,4.933457896667691,-0.17553592381507765
2024-07-03,V2X-B Base,4.762825150698933,-0.20405153542434096
2024-07-04,V2X-B Base,4.531343882822412,-0.24273596198098357
2024-07-05,V2X-B Base,4.509659033939981,-0.2463598662030384
2024-07-08,V2X-B Base,4.504872237663155,-0.24715982064734898
2024-07-09,V2X-B Base,4.688258141481268,-0.2165129411272334
2024-07-10,V2X-B Base,5.781472065317179,-0.03381844435314252
2024-07-11,V2X-B Base,6.340482396759009,0.0
2024-07-12,V2X-B Base,6.670338288404233,0.0
2024-07-15,V2X-B Base,6.7507346215100466,0.0
2024-07-16,V2X-B Base,6.807378083279175,0.0
2024-07-17,V2X-B Base,6.618437605162088,-0.02775524964320364
2024-07-18,V2X-B Base,6.198767706029861,-0.08940452106578756
2024-07-19,V2X-B Base,5.939446505075945,-0.1274986591879056
2024-07-22,V2X-B Base,5.47989631349041,-0.1950063230731126
2024-07-23,V2X-B Base,6.925154642027491,0.0
2024-07-24,V2X-B Base,7.6386551396269535,0.0
2024-07-25,V2X-B Base,7.896176055260407,0.0
2024-07-26,V2X-B Base,8.237350055383953,0.0
2024-07-29,V2X-B Base,8.652345278348992,0.0
2024-07-30,V2X-B Base,8.865466816670462,0.0
2024-07-31,V2X-B Base,8.844708629964403,-0.0023414657271093597
2024-08-01,V2X-B Base,8.522296624430115,-0.038708643248774655
2024-08-02,V2X-B Base,7.832542148441223,-0.11651102977306804
2024-08-05,V2X-B Base,7.788431950137109,-0.12148653746107507
2024-08-06,V2X-B Base,8.01941172576939,-0.09543266117810811
2024-08-07,V2X-B Base,7.703524396711532,-0.13106387333987146
2024-08-08,V2X-B Base,7.3524777221005735,-0.17066096189372582
2024-08-09,V2X-B Base,6.979860361752921,-0.21269116380559694
2024-08-12,V2X-B Base,7.06793512282866,-0.20275657571260164
2024-08-13,V2X-B Base,6.927376604686713,-0.21861118563315807
2024-08-14,V2X-B Base,7.038869543111291,-0.2060350922665991
2024-08-15,V2X-B Base,6.8065493550942975,-0.2322401633385638
2024-08-16,V2X-B Base,6.235546730015836,-0.2966476713566141
2024-08-19,V2X-B Base,7.561117476290096,-0.14712697789671858
2024-08-20,V2X-B Base,8.02173191993667,-0.09517094972903728
2024-08-21,V2X-B Base,9.05297053956478,0.0
2024-08-22,V2X-B Base,10.157817815948018,0.0
2024-08-23,V2X-B Base,10.914220893310956,0.0
2024-08-26,V2X-B Base,11.898860299001342,0.0
2024-08-27,V2X-B Base,11.711935176764571,-0.01570949801406263
2024-08-28,V2X-B Base,10.876227168692887,-0.08594378827981386
2024-08-29,V2X-B Base,11.101659733284292,-0.0669980607961217
2024-08-30,V2X-B Base,10.61405914080799,-0.10797682516712825
2024-09-02,V2X-B Base,12.241155581378894,0.0
2024-09-03,V2X-B Base,12.97473171260691,0.0
2024-09-04,V2X-B Base,12.758300877165514,-0.016680948803827755
2024-09-05,V2X-B Base,11.935464490722765,-0.08009932266070219
2024-09-06,V2X-B Base,11.326304724643816,-0.12704902301458765
2024-09-09,V2X-B Base,11.734908161572958,-0.09555677747303837
2024-09-10,V2X-B Base,12.58868353837091,-0.029753846382881033
2024-09-11,V2X-B Base,15.573406965566988,0.0
2024-09-12,V2X-B Base,17.312027003423623,0.0
2024-09-13,V2X-B Base,19.033329041110377,0.0
2024-09-18,V2X-B Base,23.82987743494148,0.0
2024-09-19,V2X-B Base,29.181998579907276,0.0
2024-09-20,V2X-B Base,32.94122918685524,0.0
2024-09-23,V2X-B Base,36.67191904173004,0.0
2024-09-24,V2X-B Base,45.727015088561735,0.0
2024-09-25,V2X-B Base,55.284213058034155,0.0
2024-09-26,V2X-B Base,58.91745702533367,0.0
2024-09-27,V2X-B Base,59.26993567066454,0.0
2024-09-30,V2X-B Base,59.72303774869224,0.0
2024-10-08,V2X-B Base,57.886365494294544,-0.030753161989619526
2024-10-09,V2X-B Base,64.10886837894637,0.0
2024-10-10,V2X-B Base,64.99576566694219,0.0
2024-10-11,V2X-B Base,64.36005403644577,-0.009780816088143296
2024-10-14,V2X-B Base,102.71402161011665,0.0
2024-10-15,V2X-B Base,150.52523896666364,0.0
2024-10-16,V2X-B Base,188.6096786299264,0.0
2024-10-17,V2X-B Base,232.38729016090568,0.0
2024-10-18,V2X-B Base,303.56451743150365,0.0
2024-10-21,V2X-B Base,391.5219181800037,0.0
2024-10-22,V2X-B Base,502.1260092697456,0.0
2024-10-23,V2X-B Base,638.0099536749372,0.0
2024-10-24,V2X-B Base,812.6084252600315,0.0
2024-10-25,V2X-B Base,967.0567129802731,0.0
2024-10-28,V2X-B Base,1057.2991999094784,0.0
2024-10-29,V2X-B Base,1098.024240029163,0.0
2024-10-30,V2X-B Base,1140.8297877354964,0.0
2024-10-31,V2X-B Base,1338.3241558114098,0.0
2024-11-01,V2X-B Base,1532.7251817790955,0.0
2024-11-04,V2X-B Base,1842.4556166882155,0.0
2024-11-05,V2X-B Base,2031.695916736893,0.0
2024-11-06,V2X-B Base,2114.8874515327957,0.0
2024-11-07,V2X-B Base,2114.6412965564937,-0.00011639152529063779
2024-11-08,V2X-B Base,2200.487406423143,0.0
2024-11-11,V2X-B Base,2199.414550847535,-0.00048755360856711505
2024-11-12,V2X-B Base,2051.0242920997007,-0.06792273106729219
2024-11-13,V2X-B Base,2295.2051027633192,0.0
2024-11-14,V2X-B Base,2556.8335851003144,0.0
2024-11-15,V2X-B Base,3157.175653674722,0.0
2024-11-18,V2X-B Base,3643.791375922177,0.0
2024-11-19,V2X-B Base,4069.4215269782953,0.0
2024-11-20,V2X-B Base,4316.744473998362,0.0
2024-11-21,V2X-B Base,4468.4927802263055,0.0
2024-11-22,V2X-B Base,4652.378752054874,0.0
2024-11-25,V2X-B Base,4468.246631699201,-0.039578058917568715
2024-11-26,V2X-B Base,4533.311102459077,-0.025592853880008537
2024-11-27,V2X-B Base,5637.190959156476,0.0
2024-11-28,V2X-B Base,5799.103469404284,0.0
